model,shots,accuracy,accuracy_percent,metric_protocol,experiment_title
MAML,5,0.9848484848484849,98.48,deployment_baseline,MAML_CWRU_STFT_5w5s_source012_target3_labels0123456789
MAML,10,0.9966329966329966,99.66,deployment_baseline,MAML_CWRU_STFT_5w10s_source012_target3_labels0123456789
MAML,15,1.0,100.0,deployment_baseline,MAML_CWRU_STFT_5w15s_source012_target3_labels0123456789
