preprocess,model,shots,accuracy,accuracy_percent,latency_ms,metric_protocol,experiment_title
FFT,CNN,5,0.6807165437302424,68.07,1.0205,deployment_baseline,CNN_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
FFT,CNN,10,0.6912539515279241,69.13,1.1755,deployment_baseline,CNN_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
FFT,CNN,15,0.7945205479452054,79.45,1.0768,deployment_baseline,CNN_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
FFT,MAML,5,1.0,100.0,0.9742,deployment_baseline,MAML_CWRU_FFT_5w5s_source012_target3_labels0123456789
FFT,MAML,10,1.0,100.0,1.1552,deployment_baseline,MAML_CWRU_FFT_5w10s_source012_target3_labels0123456789
FFT,MAML,15,0.9989462592202318,99.89,1.2609,deployment_baseline,MAML_CWRU_FFT_5w15s_source012_target3_labels0123456789
FFT,ProtoNet,5,1.0,100.0,0.982,deployment_baseline,ProtoNet_CWRU_FFT_5w5s5q_source012_target3_labels0123456789
FFT,ProtoNet,10,1.0,100.0,1.2526,deployment_baseline,ProtoNet_CWRU_FFT_5w10s10q_source012_target3_labels0123456789
FFT,ProtoNet,15,1.0,100.0,1.3603,deployment_baseline,ProtoNet_CWRU_FFT_5w15s15q_source012_target3_labels0123456789
STFT,CNN,5,0.7249736564805058,72.5,2.9188,deployment_baseline,CNN_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
STFT,CNN,10,0.8556375131717597,85.56,2.5995,deployment_baseline,CNN_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
STFT,CNN,15,0.9072708113804004,90.73,2.7107,deployment_baseline,CNN_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
STFT,MAML,5,1.0,100.0,2.9439,deployment_baseline,MAML_CWRU_STFT_5w5s_source012_target3_labels0123456789
STFT,MAML,10,1.0,100.0,2.7964,deployment_baseline,MAML_CWRU_STFT_5w10s_source012_target3_labels0123456789
STFT,MAML,15,0.9704952581664911,97.05,2.8698,deployment_baseline,MAML_CWRU_STFT_5w15s_source012_target3_labels0123456789
STFT,ProtoNet,5,1.0,100.0,2.7758,deployment_baseline,ProtoNet_CWRU_STFT_5w5s5q_source012_target3_labels0123456789
STFT,ProtoNet,10,1.0,100.0,2.9433,deployment_baseline,ProtoNet_CWRU_STFT_5w10s10q_source012_target3_labels0123456789
STFT,ProtoNet,15,1.0,100.0,2.7388,deployment_baseline,ProtoNet_CWRU_STFT_5w15s15q_source012_target3_labels0123456789
WT,CNN,5,0.9757639620653319,97.58,2.6214,deployment_baseline,CNN_CWRU_WT_5w5s5q_source012_target3_labels0123456789
WT,CNN,10,0.982086406743941,98.21,2.7026,deployment_baseline,CNN_CWRU_WT_5w10s10q_source012_target3_labels0123456789
WT,CNN,15,0.9905163329820864,99.05,2.6659,deployment_baseline,CNN_CWRU_WT_5w15s15q_source012_target3_labels0123456789
WT,MAML,5,1.0,100.0,2.3937,deployment_baseline,MAML_CWRU_WT_5w5s_source012_target3_labels0123456789
WT,MAML,10,0.9915700737618546,99.16,2.8691,deployment_baseline,MAML_CWRU_WT_5w10s_source012_target3_labels0123456789
WT,MAML,15,0.9989462592202318,99.89,2.7081,deployment_baseline,MAML_CWRU_WT_5w15s_source012_target3_labels0123456789
WT,ProtoNet,5,0.9989462592202318,99.89,2.4347,deployment_baseline,ProtoNet_CWRU_WT_5w5s5q_source012_target3_labels0123456789
WT,ProtoNet,10,0.9989462592202318,99.89,2.7152,deployment_baseline,ProtoNet_CWRU_WT_5w10s10q_source012_target3_labels0123456789
WT,ProtoNet,15,0.9989462592202318,99.89,2.6828,deployment_baseline,ProtoNet_CWRU_WT_5w15s15q_source012_target3_labels0123456789
