preprocess,model,shots,accuracy,accuracy_percent,latency_ms,metric_protocol,experiment_title
FFT,CNN,5,0.8786919831223629,87.87,1.2623,deployment_baseline,CNN_CWRU_FFT_5w5s5q_source013_target2_labels0123456789
FFT,CNN,10,0.8744725738396625,87.45,1.269,deployment_baseline,CNN_CWRU_FFT_5w10s10q_source013_target2_labels0123456789
FFT,CNN,15,0.890295358649789,89.03,1.2205,deployment_baseline,CNN_CWRU_FFT_5w15s15q_source013_target2_labels0123456789
FFT,MAML,5,0.9957805907172996,99.58,1.1955,deployment_baseline,MAML_CWRU_FFT_5w5s_source013_target2_labels0123456789
FFT,MAML,10,0.9926160337552743,99.26,1.2291,deployment_baseline,MAML_CWRU_FFT_5w10s_source013_target2_labels0123456789
FFT,MAML,15,1.0,100.0,1.3629,deployment_baseline,MAML_CWRU_FFT_5w15s_source013_target2_labels0123456789
FFT,ProtoNet,5,1.0,100.0,1.1701,deployment_baseline,ProtoNet_CWRU_FFT_5w5s5q_source013_target2_labels0123456789
FFT,ProtoNet,10,1.0,100.0,1.097,deployment_baseline,ProtoNet_CWRU_FFT_5w10s10q_source013_target2_labels0123456789
FFT,ProtoNet,15,1.0,100.0,1.2365,deployment_baseline,ProtoNet_CWRU_FFT_5w15s15q_source013_target2_labels0123456789
STFT,CNN,5,0.9746835443037974,97.47,2.7307,deployment_baseline,CNN_CWRU_STFT_5w5s5q_source013_target2_labels0123456789
STFT,CNN,10,0.9462025316455697,94.62,3.0077,deployment_baseline,CNN_CWRU_STFT_5w10s10q_source013_target2_labels0123456789
STFT,CNN,15,0.9746835443037974,97.47,2.5726,deployment_baseline,CNN_CWRU_STFT_5w15s15q_source013_target2_labels0123456789
STFT,MAML,5,0.9947257383966245,99.47,2.6803,deployment_baseline,MAML_CWRU_STFT_5w5s_source013_target2_labels0123456789
STFT,MAML,10,0.9989451476793249,99.89,2.3696,deployment_baseline,MAML_CWRU_STFT_5w10s_source013_target2_labels0123456789
STFT,MAML,15,1.0,100.0,2.6757,deployment_baseline,MAML_CWRU_STFT_5w15s_source013_target2_labels0123456789
STFT,ProtoNet,5,1.0,100.0,2.686,deployment_baseline,ProtoNet_CWRU_STFT_5w5s5q_source013_target2_labels0123456789
STFT,ProtoNet,10,1.0,100.0,2.5214,deployment_baseline,ProtoNet_CWRU_STFT_5w10s10q_source013_target2_labels0123456789
STFT,ProtoNet,15,1.0,100.0,2.7864,deployment_baseline,ProtoNet_CWRU_STFT_5w15s15q_source013_target2_labels0123456789
WT,CNN,5,0.9483122362869199,94.83,2.6458,deployment_baseline,CNN_CWRU_WT_5w5s5q_source013_target2_labels0123456789
WT,CNN,10,0.9409282700421941,94.09,2.479,deployment_baseline,CNN_CWRU_WT_5w10s10q_source013_target2_labels0123456789
WT,CNN,15,0.9483122362869199,94.83,2.4696,deployment_baseline,CNN_CWRU_WT_5w15s15q_source013_target2_labels0123456789
WT,MAML,5,0.9978902953586498,99.79,2.7593,deployment_baseline,MAML_CWRU_WT_5w5s_source013_target2_labels0123456789
WT,MAML,10,0.9926160337552743,99.26,2.6715,deployment_baseline,MAML_CWRU_WT_5w10s_source013_target2_labels0123456789
WT,MAML,15,0.9989451476793249,99.89,2.5744,deployment_baseline,MAML_CWRU_WT_5w15s_source013_target2_labels0123456789
WT,ProtoNet,5,1.0,100.0,2.5578,deployment_baseline,ProtoNet_CWRU_WT_5w5s5q_source013_target2_labels0123456789
WT,ProtoNet,10,1.0,100.0,2.6533,deployment_baseline,ProtoNet_CWRU_WT_5w10s10q_source013_target2_labels0123456789
WT,ProtoNet,15,1.0,100.0,2.7214,deployment_baseline,ProtoNet_CWRU_WT_5w15s15q_source013_target2_labels0123456789
